Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
M,Cross-site Scripting (XSS),ag-grid,&gt;&#x3D;13.0.0 &lt;14.0.0,npm,"0,Jun,2018"
M,Cross-site Scripting (XSS),org.webjars.npm:ag-grid,"[13.0.0,14.0.0)",Maven,"0,Jun,2018"
M,Cross-site Scripting (XSS),plone.app.discussion,"[,2.4.14)",pip,"0,Jun,2018"
M,Cross-site Scripting (XSS),dateable.chronos,"[,0.8)",pip,"0,Jun,2018"
M,Cross-site Scripting (XSS),sexstatic,*,npm,"0,Jun,2018"
M,Cross-site Scripting (XSS),roundup,"[,1.4.20)",pip,"1,Jul,2011"
M,Cross-site Scripting (XSS),roundup,"[,1.4.20)",pip,"1,Jul,2011"
M,Cross-site Scripting (XSS),roundup,"[,1.4.20)",pip,"1,Jul,2011"
M,Cross-site Scripting (XSS),plone,"[,4.2)",pip,"3,May,2011"
M,Cross-site Scripting (XSS),org.apache.oodt:oodt-core,"[,0.4)",Maven,"1,Oct,2017"
M,Cross-site Scripting (XSS),mistune,"[,0.7.2)",pip,"1,Oct,2017"
M,Cross-site Scripting (XSS),oodt,"[,0.4)",pip,"1,Oct,2017"
M,Cross-site Scripting (XSS),electron,&lt;1.6.8,npm,"0,Oct,2017"
M,Cross-site Scripting (XSS),org.webjars.npm:electron,"(,1.6.8)",Maven,"0,Oct,2017"
M,Cross-site Scripting (XSS),dolibarr/dolibarr,&gt;&#x3D;0.0.0,Composer,"2,Nov,2019"
M,Cross-site Scripting (XSS),activesupport,"&gt;&#x3D;2.0.0, &lt;2.3.13,&gt;&#x3D;3.0.0, &lt;3.0.10,&gt;&#x3D;3.1.0.beta1, &lt;3.1.0.rc5",RubyGems,"2,Nov,2019"
M,Cross-site Scripting (XSS),recommender-xblock,"[,1.3.1)",pip,"2,Nov,2019"
M,Cross-site Scripting (XSS),notebook,"[,5.5.0)",pip,"2,Nov,2019"
M,Cross-site Scripting (XSS),invenio-previewer,"[,1.0.0a12)",pip,"2,Nov,2019"
M,Cross-site Scripting (XSS),dotnetnuke.core,"[,9.4.0)",NuGet,"2,Nov,2019"
M,Cross-site Scripting (XSS),cleditor,"[0,]",NuGet,"2,Nov,2019"
M,Cross-site Scripting (XSS),editor.md,&gt;0.0.0,npm,"2,Nov,2019"
M,Cross-site Scripting (XSS),org.webjars.npm:editor.md,"(0.0.0,)",Maven,"2,Nov,2019"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.pandao:editor.md,"[0,]",Maven,"2,Nov,2019"
M,Cross-site Scripting (XSS),org.webjars.bower:editor.md,"[0,]",Maven,"2,Nov,2019"
M,Cross-site Scripting (XSS),org.sakaiproject:chat-base,"[,12.7)",Maven,"2,Nov,2019"
M,Cross-site Scripting (XSS),foundation-sites,"[,6.0.0)",NuGet,"0,Aug,2017"
M,Cross-site Scripting (XSS),auth0-lock,&lt;11.21.0,npm,"0,Feb,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:auth0-lock,"[0,]",Maven,"0,Feb,2020"
M,Cross-site Scripting (XSS),org.webjars.bower:auth0-lock,"[0,]",Maven,"0,Feb,2020"
M,Cross-site Scripting (XSS),org.grails.plugins:fields,"[2.1.5, 2.2.8)",Maven,"3,Jan,2020"
C,Cross-site Scripting (XSS),reveal.js,&lt;3.9.2,npm,"3,Jan,2020"
C,Cross-site Scripting (XSS),org.webjars:reveal.js,"[0,]",Maven,"3,Jan,2020"
C,Cross-site Scripting (XSS),org.webjars.npm:reveal.js,"[,4.1.3)",Maven,"3,Jan,2020"
C,Cross-site Scripting (XSS),org.webjars.bowergithub.hakimel:reveal.js,"[,3.9.2)",Maven,"3,Jan,2020"
C,Cross-site Scripting (XSS),org.webjars.bower:reveal.js,"[,4.0.2)",Maven,"3,Jan,2020"
M,Cross-site Scripting (XSS),typo3/cms,"&gt;&#x3D;6.2.0, &lt;6.2.16,&gt;&#x3D;7.0.0, &lt;7.6.1",Composer,"1,Dec,2015"
L,Cross-site Scripting (XSS),typo3/cms,"&gt;&#x3D;6.2.0, &lt;6.2.16,&gt;&#x3D;7.0.0, &lt;7.6.1",Composer,"1,Dec,2015"
M,Cross-site Scripting (XSS),typo3/cms,"&gt;&#x3D;6.2.0, &lt;6.2.16,&gt;&#x3D;7.0.0, &lt;7.6.1",Composer,"1,Dec,2015"
M,Cross-site Scripting (XSS),october/october,&lt;1.0.426,Composer,"3,Jul,2020"
M,Cross-site Scripting (XSS),dolibarr/dolibarr,&lt;9.0.3,Composer,"3,Jul,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,2.176.4),[2.180.0, 2.196.1)",Maven,"3,Jul,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,2.176.4),[2.180.0, 2.196.1)",Maven,"3,Jul,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[0, 2.176.4),[2.180.0, 2.196.1)",Maven,"3,Jul,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[0, 2.176.4),[2.180.0, 2.196.1)",Maven,"3,Jul,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,2.176.4),[2.180.0, 2.190.1)",Maven,"3,Jul,2020"
M,Cross-site Scripting (XSS),shopware/shopware,"&gt;&#x3D;5.2.5, &lt;5.3.1",Composer,"3,Jul,2020"
M,Cross-site Scripting (XSS),phpmyfaq/phpmyfaq,&lt;2.9.9,Composer,"3,Jul,2020"
M,Cross-site Scripting (XSS),phpmyfaq/phpmyfaq,&lt;2.9.7,Composer,"3,Jul,2020"
M,Cross-site Scripting (XSS),bise.theme,"[,2.4)",pip,"1,Sep,2016"
H,Cross-site Scripting (XSS),nunjucks,"[,2.4.3)",NuGet,"0,Sep,2016"
H,Cross-site Scripting (XSS),nunjucks,"[,2.4.3)",NuGet,"0,Sep,2016"
H,Cross-site Scripting (XSS),nunjucks,&lt;2.4.3,npm,"0,Sep,2016"
H,Cross-site Scripting (XSS),org.webjars.npm:nunjucks,"(,2.4.3)",Maven,"0,Sep,2016"
M,Cross-site Scripting (XSS),plone.app.users,"[2.0,2.3.8)",pip,"0,Sep,2016"
M,Cross-site Scripting (XSS),plone,"[4,5.1a1]",pip,"0,Sep,2016"
M,Cross-site Scripting (XSS),org.jboss.resteasy:resteasy-jaxrs,"[0,3.0.20.Final),[3.1.0.Beta1,3.1.0.CR1)",Maven,"0,Sep,2016"
M,Cross-site Scripting (XSS),org.jboss.resteasy:resteasy-jackson2-provider,"[,3.0.20),[3.1.0.Beta1 ,3.1.0.CR1)",Maven,"0,Sep,2016"
M,Cross-site Scripting (XSS),org.jboss.resteasy:resteasy-jackson-provider,"[2.3.6.Final,]",Maven,"0,Sep,2016"
H,Cross-site Scripting (XSS),apache-airflow,"[0,1.10.11)",pip,"1,Jul,2020"
H,Cross-site Scripting (XSS),apache-airflow,"[0,1.10.11)",pip,"1,Jul,2020"
H,Cross-site Scripting (XSS),francoisjacquet/rosariosis,&lt;6.8,Composer,"1,Jul,2020"
H,Cross-site Scripting (XSS),francoisjacquet/rosariosis,&lt;6.8,Composer,"1,Jul,2020"
H,Cross-site Scripting (XSS),francoisjacquet/rosariosis,&lt;6.8,Composer,"1,Jul,2020"
C,Cross-site Scripting (XSS),jquery-form,*,npm,"1,Jul,2020"
C,Cross-site Scripting (XSS),org.webjars:jquery-form,"[0,]",Maven,"1,Jul,2020"
C,Cross-site Scripting (XSS),org.webjars.npm:jquery-form,"[0,]",Maven,"1,Jul,2020"
C,Cross-site Scripting (XSS),org.webjars.bower:jquery-form,"[0,]",Maven,"1,Jul,2020"
H,Cross-site Scripting (XSS),org.jenkins-ci.plugins:matrix-project,"[,2.6.2)",Maven,"1,Jul,2020"
M,Cross-site Scripting (XSS),silverstripe/framework,"&gt;&#x3D;3.0.0, &lt;3.7.5",Composer,"1,Jul,2020"
H,Cross-site Scripting (XSS),org.jenkins-ci.plugins:matrix-project,"[,1.17)",Maven,"1,Jul,2020"
H,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,2.245)",Maven,"1,Jul,2020"
H,Cross-site Scripting (XSS),org.jenkins-ci.plugins:matrix-project,"[,1.17)",Maven,"1,Jul,2020"
H,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,2.245)",Maven,"1,Jul,2020"
H,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,2.245)",Maven,"1,Jul,2020"
H,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,2.245)",Maven,"1,Jul,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:subversion,"[,2.13.1)",Maven,"1,Feb,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.tools:git-parameter,"[,0.9.12)",Maven,"1,Feb,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:brakeman,"[,0.13)",Maven,"1,Feb,2020"
M,Cross-site Scripting (XSS),foundation-sites,&lt;5.5.3,npm,"1,Mar,2017"
M,Cross-site Scripting (XSS),org.webjars:swagger-ui,"[,2.2.5)",Maven,"1,Mar,2017"
M,Cross-site Scripting (XSS),org.webjars.npm:swagger-ui,"[,2.2.8)",Maven,"1,Mar,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:swagger-ui,"(,2.2.3)",Maven,"1,Mar,2017"
M,Cross-site Scripting (XSS),vega,&lt;2.4.0,npm,"1,Mar,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:vega,"(,2.4.0)",Maven,"1,Mar,2017"
M,Cross-site Scripting (XSS),squire-rte,&lt;1.6.0,npm,"1,Mar,2017"
M,Cross-site Scripting (XSS),reveal.js,&lt;2.6.0,npm,"1,Mar,2017"
M,Cross-site Scripting (XSS),rethinkdb,&lt;2.1.0 &gt;&#x3D;1.2.0,npm,"1,Mar,2017"
M,Cross-site Scripting (XSS),knockout,&gt;&#x3D;2.1.0-pre &lt;3.0.0,npm,"1,Mar,2017"
M,Cross-site Scripting (XSS),org.webjars:knockout,"[2.1.0-pre,3.0.0)",Maven,"1,Mar,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:knockout,"[2.1.0-pre,3.0.0)",Maven,"1,Mar,2017"
M,Cross-site Scripting (XSS),foundation-sites,"[,5.5.3)",NuGet,"0,Mar,2017"
M,Cross-site Scripting (XSS),foundation-sites,"[3.0.0,3.0.6)",NuGet,"0,Mar,2017"
M,Cross-site Scripting (XSS),jstree,"[,3.0.3)",NuGet,"0,Mar,2017"
M,Cross-site Scripting (XSS),yms,&lt;1.0.1,npm,"0,Mar,2017"
M,Cross-site Scripting (XSS),thelounge,&lt;1.5.0 &gt;&#x3D;1.0.0,npm,"0,Mar,2017"
M,Cross-site Scripting (XSS),bitcore-node,&lt;8.22.2,npm,"1,Sep,2020"
H,Cross-site Scripting (XSS),kentico.libraries,"[, 12.0.75)",NuGet,"1,Sep,2020"
H,Cross-site Scripting (XSS),com.xuxueli:xxl-job,"[0,)",Maven,"0,Sep,2020"
M,Cross-site Scripting (XSS),wtforms,"[,3.0.0a1)",pip,"2,Dec,2016"
H,Cross-site Scripting (XSS),sockjs,&lt;0.3.0,npm,"1,Feb,2020"
H,Cross-site Scripting (XSS),dojox,"&gt;&#x3D;1.16.0 &lt;1.16.1,&gt;&#x3D;1.15.0 &lt;1.15.2,&gt;&#x3D;1.4.0 &lt;1.14.5,&gt;&#x3D;1.13.0 &lt;1.13.6,&gt;&#x3D;1.12.0 &lt;1.12.7,&lt;1.11.9",npm,"0,Feb,2020"
H,Cross-site Scripting (XSS),org.webjars.npm:dojox,"[,1.16.1)",Maven,"0,Feb,2020"
H,Cross-site Scripting (XSS),org.webjars.bowergithub.dojo:dojox,"[0,]",Maven,"0,Feb,2020"
H,Cross-site Scripting (XSS),org.webjars.bower:dojox,"[0,]",Maven,"0,Feb,2020"
M,Cross-site Scripting (XSS),ezsystems/ezfind-ls,"&gt;&#x3D;5.4.0, &lt;5.4.11.1,&gt;&#x3D;5.3.0, &lt;5.3.6.1",Composer,"0,Feb,2020"
C,Cross-site Scripting (XSS),silverstripe/framework,"&gt;&#x3D;3.1.18, &lt;3.1.19,&gt;&#x3D;3.2.3, &lt;3.2.4,&gt;&#x3D;3.3.1, &lt;3.3.2",Composer,"0,Feb,2020"
M,Cross-site Scripting (XSS),silverstripe/framework,"&gt;&#x3D;3.0.0, &lt;4.3.5,&gt;&#x3D;4.4.0, &lt;4.4.4",Composer,"0,Feb,2020"
M,Cross-site Scripting (XSS),silverstripe/framework,"&gt;&#x3D;4.0.0, &lt;4.3.5,&gt;&#x3D;4.4.0, &lt;4.4.4",Composer,"0,Feb,2020"
H,Cross-site Scripting (XSS),silverstripe/framework,"&lt;3.4.4,&gt;&#x3D;3.5.0, &lt;3.5.2",Composer,"0,Feb,2020"
H,Cross-site Scripting (XSS),silverstripe/framework,"&lt;3.4.6,&gt;&#x3D;3.5.0, &lt;3.5.4",Composer,"0,Feb,2020"
H,Cross-site Scripting (XSS),silverstripe/framework,"&gt;&#x3D;3.1.19, &lt;3.1.20,&gt;&#x3D;3.2.4, &lt;3.2.5,&gt;&#x3D;3.3.2, &lt;3.3.3,&gt;&#x3D;3.4.0, &lt;3.4.1",Composer,"0,Feb,2020"
H,Cross-site Scripting (XSS),silverstripe/framework,"&gt;&#x3D;3.1.18, &lt;3.1.19,&gt;&#x3D;3.2.3, &lt;3.2.4,&gt;&#x3D;3.3.1, &lt;3.3.2",Composer,"0,Feb,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:mathjax,"[0,2.7.5)",Maven,"0,Jul,2019"
M,Cross-site Scripting (XSS),intelliants/subrion,&lt;4.1.4,Composer,"0,Jul,2019"
M,Cross-site Scripting (XSS),kibana,&gt;&#x3D;4.3.0 &lt;4.6.2,npm,"0,Jul,2019"
H,Cross-site Scripting (XSS),viewerjs,&lt;1.3.6,npm,"0,Dec,2019"
H,Cross-site Scripting (XSS),org.webjars:viewerjs,"[0,]",Maven,"0,Dec,2019"
H,Cross-site Scripting (XSS),org.webjars.npm:viewerjs,"[,1.3.6)",Maven,"0,Dec,2019"
H,Cross-site Scripting (XSS),org.webjars.bowergithub.fengyuanchen:viewerjs,"[0,]",Maven,"0,Dec,2019"
M,Cross-site Scripting (XSS),devalue,&lt;2.0.1,npm,"0,Dec,2019"
M,Cross-site Scripting (XSS),trix,&lt;1.2.2,npm,"2,Nov,2019"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.basecamp:trix,"[0,]",Maven,"2,Nov,2019"
M,Cross-site Scripting (XSS),org.webjars.bower:trix,"[0,]",Maven,"2,Nov,2019"
H,Cross-site Scripting (XSS),github.com/open-policy-agent/opa/server,&lt;0.9.2,Go,"0,Apr,2020"
M,Cross-site Scripting (XSS),vue,&lt;2.5.17,npm,"0,Apr,2020"
M,Cross-site Scripting (XSS),svelte,&lt;2.9.8,npm,"0,Apr,2020"
M,Cross-site Scripting (XSS),react-dom,"&gt;&#x3D;16.0.0 &lt;16.0.1,&gt;&#x3D;16.1.0 &lt;16.1.2,&gt;&#x3D;16.2.0 &lt;16.2.1,&gt;&#x3D;16.3.0 &lt;16.3.3,&gt;&#x3D;16.4.0 &lt;16.4.2",npm,"0,Apr,2020"
M,Cross-site Scripting (XSS),preact-render-to-string,&lt;3.7.2,npm,"0,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars:vue,"(,2.5.17)",Maven,"0,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:vue,"(,2.5.17)",Maven,"0,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:svelte,"[,2.9.8)",Maven,"0,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:react-dom,"[16.0.0,16.0.1),[16.1.0,16.1.2),[16.2.0,16.2.1),[16.3.0,16.3.3),[16.4.0,16.4.2)",Maven,"0,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.vuejs:vue,"(,2.5.17)",Maven,"0,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.bower:vue,"(,2.5.17)",Maven,"0,Apr,2020"
L,Cross-site Scripting (XSS),org.projectforge:projectforge-webapp,"[,5.3)",Maven,"2,Feb,2018"
C,Cross-site Scripting (XSS),crud-file-server,&lt;0.9.0,npm,"2,Feb,2018"
M,Cross-site Scripting (XSS),doorkeeper,&lt;4.2.6,RubyGems,"2,Feb,2018"
M,Cross-site Scripting (XSS),org.apache.axis2:axis2,"[,1.7.4)",Maven,"2,Dec,2017"
M,Cross-site Scripting (XSS),org.apache.drill.exec:drill-java-exec,"[,1.12.0)",Maven,"2,Dec,2017"
M,Cross-site Scripting (XSS),org.apache.sling:org.apache.sling.api,"[,2.2.2)",Maven,"0,Jun,2015"
L,Cross-site Scripting (XSS),org.apache.activemq:activemq-web,"[,5.3.0)",Maven,"1,May,2015"
M,Cross-site Scripting (XSS),iobroker.web,&lt;2.4.10,npm,"1,Nov,2019"
H,Cross-site Scripting (XSS),org.kairosdb:kairosdb,"[0,1.3.0-1)",Maven,"1,Nov,2019"
M,Cross-site Scripting (XSS),jquery_mobile_rails,&gt;&#x3D;0.0.0,RubyGems,"0,May,2019"
M,Cross-site Scripting (XSS),jquery.mobile,"[0,]",NuGet,"0,May,2019"
M,Cross-site Scripting (XSS),jquery-mobile,&lt;&#x3D;1.5.0-alpha.1,npm,"0,May,2019"
M,Cross-site Scripting (XSS),org.webjars:jquery-mobile,"(,1.5.0-alpha.1]",Maven,"0,May,2019"
M,Cross-site Scripting (XSS),org.webjars.npm:jquery-mobile,"(,1.5.0-alpha.1]",Maven,"0,May,2019"
M,Cross-site Scripting (XSS),org.webjars.bower:jquery-mobile,"(,1.5.0-alpha.1]",Maven,"0,May,2019"
M,Cross-site Scripting (XSS),impresscms/impresscms,&lt;1.3.11,Composer,"0,May,2019"
H,Cross-site Scripting (XSS),org.apache.uima:uima-ducc-web,"[,3.0.0)",Maven,"0,May,2019"
M,Cross-site Scripting (XSS),org.webjars.npm:videojs-swf,"[,4.5.4)",Maven,"2,May,2018"
M,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,1.532.2)",Maven,"2,May,2018"
L,Cross-site Scripting (XSS),org.jenkins-ci.main:jenkins-core,"[,1.532.2)",Maven,"2,May,2018"
L,Cross-site Scripting (XSS),com.sonyericsson.jenkins.plugins.bfa:build-failure-analyzer,"[,1.5.1)",Maven,"2,May,2018"
M,Cross-site Scripting (XSS),org.jvnet.hudson.plugins:monitoring,"[,1.53)",Maven,"2,May,2018"
M,Cross-site Scripting (XSS),jquery-confirm,*,npm,"0,Mar,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:jquery-confirm,"[0,]",Maven,"0,Mar,2020"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.craftpip:jquery-confirm,"[0,]",Maven,"0,Mar,2020"
M,Cross-site Scripting (XSS),org.webjars.bower:jquery-confirm,"[0,]",Maven,"0,Mar,2020"
M,Cross-site Scripting (XSS),markdown-editor,"[0,]",pip,"0,Mar,2020"
M,Cross-site Scripting (XSS),moodle/moodle,"&lt;3.3.8,&gt;&#x3D;3.4.0, &lt;3.4.5,&gt;&#x3D;3.5.0, &lt;3.5.2",Composer,"2,Sep,2018"
H,Cross-site Scripting (XSS),django-smart-lists,"[,1.0.26)",pip,"1,Apr,2020"
H,Cross-site Scripting (XSS),wagtail,"[1.9.0, 2.7.2),[2.8.0, 2.8.1)",pip,"1,Apr,2020"
M,Cross-site Scripting (XSS),jquery-rails,&lt;4.4.0,RubyGems,"1,Apr,2020"
M,Cross-site Scripting (XSS),sphinx,"[,3.0.4)",pip,"1,Apr,2020"
M,Cross-site Scripting (XSS),jquery,"[1.0.3 ,3.5.0)",NuGet,"1,Apr,2020"
M,Cross-site Scripting (XSS),jquery,&gt;&#x3D;1.5.1 &lt;3.5.0,npm,"1,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars:jquery,"[1.0.3, 3.5.0)",Maven,"1,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:jquery,"[1.0.3, 3.5.0)",Maven,"1,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.jquery:jquery,"[0, 3.5.1)",Maven,"1,Apr,2020"
M,Cross-site Scripting (XSS),org.webjars.bower:jquery,"[1.0.3, 3.5.0)",Maven,"1,Apr,2020"
M,Cross-site Scripting (XSS),org.fujion.webjars:jquery,"[0,]",Maven,"1,Apr,2020"
H,Cross-site Scripting (XSS),markdown-to-jsx,&lt;6.11.4,npm,"2,May,2020"
H,Cross-site Scripting (XSS),org.webjars.npm:markdown-to-jsx,"[0,]",Maven,"2,May,2020"
H,Cross-site Scripting (XSS),dolibarr/dolibarr,&gt;&#x3D;0.0.0,Composer,"2,May,2020"
M,Cross-site Scripting (XSS),jquery,&lt;1.9.0,npm,"1,May,2020"
M,Cross-site Scripting (XSS),org.webjars:jquery,"[,1.9.0)",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:jquery,"[,1.9.0)",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.jquery:jquery,"[,1.12.4)",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),org.webjars.bower:jquery,"[,1.9.0)",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),react-tooltip,&lt;3.8.1,npm,"1,Sep,2018"
M,Cross-site Scripting (XSS),org.webjars.npm:react-tooltip,"[0,]",Maven,"1,Sep,2018"
M,Cross-site Scripting (XSS),dojo,"&gt;&#x3D;1.14.0-pre &lt;1.14.0,&gt;&#x3D;1.13.0 &lt;1.13.1,&gt;&#x3D;1.12.1 &lt;1.12.4,&gt;&#x3D;1.11.0-rc1 &lt;1.11.6,&lt;1.10.10",npm,"0,Sep,2018"
M,Cross-site Scripting (XSS),org.webjars:dojo,"[0,]",Maven,"0,Sep,2018"
M,Cross-site Scripting (XSS),org.webjars.npm:dojo,"(,1.14)",Maven,"0,Sep,2018"
M,Cross-site Scripting (XSS),org.webjars.bowergithub.dojo:dojo,"(,1.14)",Maven,"0,Sep,2018"
M,Cross-site Scripting (XSS),org.webjars.bower:dojo,"[0,]",Maven,"0,Sep,2018"
M,Cross-site Scripting (XSS),org.dojotoolkit:dojo,"[,1.14.0)",Maven,"0,Sep,2018"
M,Cross-site Scripting (XSS),org.apache.geronimo.plugins:dojo,"[0,)",Maven,"0,Sep,2018"
M,Cross-site Scripting (XSS),lavalite/cms,&gt;&#x3D;0.0.0,Composer,"0,Sep,2018"
M,Cross-site Scripting (XSS),mayan-edms,"[,3.0.2)",pip,"0,Sep,2018"
M,Cross-site Scripting (XSS),gleez/cms,&gt;&#x3D;0.0.0,Composer,"0,Sep,2018"
M,Cross-site Scripting (XSS),flask-admin,"[,1.5.2)",pip,"0,Sep,2018"
M,Cross-site Scripting (XSS),intelliants/subrion,&lt;&#x3D;4.2.1,Composer,"0,Sep,2018"
M,Cross-site Scripting (XSS),mayan-edms,"[,3.0.2)",pip,"0,Sep,2018"
M,Cross-site Scripting (XSS),mayan-edms,"[,3.0.3)",pip,"0,Sep,2018"
M,Cross-site Scripting (XSS),org.apache.struts:struts2-config-browser-plugin,"[2.0.5, 2.3.16)",Maven,"2,Oct,2013"
M,Cross-site Scripting (XSS),collective.tablepage,"[,0.3)",pip,"1,Oct,2013"
M,Cross-site Scripting (XSS),actionpack,"&lt; 3.2.13, &gt;&#x3D; 3.2,&lt; 3.1.12, &gt;&#x3D; 2.4,&lt; 2.3.18",RubyGems,"1,Oct,2013"
M,Cross-site Scripting (XSS),collective.portlet.twitter,"[,1.0b3)",pip,"0,Oct,2013"
M,Cross-site Scripting (XSS),joplin,&lt;2.1.1,npm,"0,Aug,2021"
M,Cross-site Scripting (XSS),grapesjs,&lt;0.17.22,npm,"0,Aug,2021"
M,Cross-site Scripting (XSS),org.webjars.npm:grapesjs,"[0,]",Maven,"0,Aug,2021"
M,Cross-site Scripting (XSS),shuup,"[1.6.0, 2.11.0)",pip,"0,Aug,2021"
H,Cross-site Scripting (XSS),bootstrap-select,&lt;1.13.6,npm,"0,Oct,2020"
H,Cross-site Scripting (XSS),org.webjars:bootstrap-select,"[,1.13.6)",Maven,"0,Oct,2020"
H,Cross-site Scripting (XSS),org.webjars.npm:bootstrap-select,"[,1.13.6)",Maven,"0,Oct,2020"
H,Cross-site Scripting (XSS),org.webjars.bowergithub.thdoan:bootstrap-select,"[0,)",Maven,"0,Oct,2020"
H,Cross-site Scripting (XSS),org.webjars.bowergithub.snapappointments:bootstrap-select,"[,1.13.6)",Maven,"0,Oct,2020"
H,Cross-site Scripting (XSS),org.webjars.bower:bootstrap-select,"[,1.13.6)",Maven,"0,Oct,2020"
M,Cross-site Scripting (XSS),github.com/argoproj/argo/server/auth/sso,&lt;2.11.0,Go,"2,Sep,2020"
M,Cross-site Scripting (XSS),ngx-markdown-editor,&lt;3.3.0,npm,"0,Feb,2021"
H,Cross Site Scripting (XSS),markdown2,"[,2.3.9)",pip,"1,May,2020"
M,Cross-site Scripting (XSS),tinymce,"[,4.9.10),[5.0.0,5.2.2)",NuGet,"1,May,2020"
M,Cross-site Scripting (XSS),tinymce,"&lt;4.9.10,&gt;&#x3D;5.0.0 &lt;5.2.2",npm,"1,May,2020"
M,Cross-site Scripting (XSS),org.webjars:tinymce,"[0,]",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),org.webjars.npm:tinymce,"[,5.4.2)",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),org.webjars.bower:tinymce,"(4.9.10, 5.2.2),[,4.9.10)",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),tinymce/tinymce,"&lt;4.9.10,&gt;&#x3D;5.0.0, &lt;5.2.2",Composer,"1,May,2020"
H,Cross-site Scripting (XSS),superset,"[,0.19.1)",pip,"1,May,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:awseb-deployment-plugin,"[,0.3.20)",Maven,"1,May,2020"
H,Cross-site Scripting (XSS),buefy,&lt;0.8.18,npm,"1,May,2020"
H,Cross-site Scripting (XSS),org.webjars.npm:buefy,"[0,0.8.18)",Maven,"1,May,2020"
H,Cross-site Scripting (XSS),org.webjars.bowergithub.buefy:buefy,"[0,]",Maven,"1,May,2020"
M,Cross-site Scripting (XSS),angular-gettext,"[,1.0.0)",NuGet,"2,Jan,2017"
M,Cross-site Scripting (XSS),angularjs.core,"[1.3.0, 1.5.0)",NuGet,"2,Jan,2017"
M,Cross-site Scripting (XSS),angular,&gt;&#x3D;1.3.0 &lt;1.5.0-rc.2,npm,"2,Jan,2017"
M,Cross-site Scripting (XSS),org.webjars.npm:angular,"[1.3.0,1.5.0-rc.2)",Maven,"2,Jan,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:angular,"[1.3.0,1.5.0-rc.2)",Maven,"2,Jan,2017"
M,Cross-site Scripting (XSS),angularjs.core,"[,1.5.0)",NuGet,"2,Jan,2017"
M,Cross-site Scripting (XSS),angular,&lt;1.5.0-rc.0,npm,"2,Jan,2017"
M,Cross-site Scripting (XSS),org.webjars.npm:angular,"[,1.5.0-rc.0)",Maven,"2,Jan,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:angular,"[,1.5.0-rc.0)",Maven,"2,Jan,2017"
M,Cross-site Scripting (XSS),angularjs.core,"[,1.4.10)",NuGet,"2,Jan,2017"
M,Cross-site Scripting (XSS),angular,&lt;1.4.10,npm,"2,Jan,2017"
M,Cross-site Scripting (XSS),org.webjars.npm:angular,"[,1.4.10)",Maven,"2,Jan,2017"
M,Cross-site Scripting (XSS),org.webjars.bower:angular,"[,1.4.10)",Maven,"2,Jan,2017"
